vocab_size,embedding_dim,lstm_units,val_accuracy,val_precision,val_recall,f1_score,val_loss,total_params,training_time,epochs_trained
1000,128,32,0.875,0.800000011920929,1.0,0.8888888468647735,0.6727491617202759,173441,6.364070177078247,15
3000,64,32,0.875,1.0,0.75,0.857142808163268,0.6891828775405884,221057,5.509814023971558,15
2000,256,32,0.75,0.6666666865348816,1.0,0.7999999663051172,0.6726467609405518,590209,6.572522401809692,15
1000,256,64,0.75,0.75,0.75,0.7499999500000033,0.6706412434577942,428673,7.166301965713501,15
3000,128,128,0.75,0.75,0.75,0.7499999500000033,0.6680371761322021,663681,8.679461002349854,15
1000,256,128,0.75,0.75,0.75,0.7499999500000033,0.6383323669433594,666753,9.67828631401062,15
1000,256,32,0.625,0.5714285969734192,1.0,0.7272727016809531,0.6772840619087219,334209,6.745546817779541,15
2000,64,128,0.5,0.5,1.0,0.6666666222222252,0.6769217848777771,342145,7.172219753265381,15
1000,128,64,0.75,1.0,0.5,0.6666666222222252,0.6726942658424377,235137,6.583217620849609,15
1000,64,64,0.75,1.0,0.5,0.6666666222222252,0.6819955110549927,138369,6.50213885307312,15
2000,256,64,0.75,1.0,0.5,0.6666666222222252,0.6464236974716187,684673,7.203594207763672,15
3000,128,64,0.5,0.5,1.0,0.6666666222222252,0.6826776266098022,491137,6.159409046173096,15
3000,64,128,0.5,0.5,1.0,0.6666666222222252,0.6868342757225037,406145,6.906078338623047,15
3000,128,32,0.5,0.5,1.0,0.6666666222222252,0.6936360597610474,429441,4.611375331878662,4
2000,128,64,0.75,1.0,0.5,0.6666666222222252,0.6792807579040527,363137,5.980517625808716,15
3000,64,64,0.75,1.0,0.5,0.6666666222222252,0.6889565587043762,266369,5.756521940231323,15
2000,128,128,0.75,1.0,0.5,0.6666666222222252,0.6526358127593994,535681,8.594189167022705,15
1000,64,128,0.625,0.6666666865348816,0.5,0.5714285297475118,0.6849496960639954,278145,7.695911169052124,15
2000,64,32,0.625,0.6666666865348816,0.5,0.5714285297475118,0.686407208442688,157057,6.545237302780151,15
2000,256,128,0.625,0.6666666865348816,0.5,0.5714285297475118,0.6578922867774963,922753,9.546254873275757,15
2000,64,64,0.625,0.6666666865348816,0.5,0.5714285297475118,0.6833347082138062,202369,6.68539023399353,15
1000,128,128,0.625,0.6666666865348816,0.5,0.5714285297475118,0.6656287908554077,407681,9.498041868209839,15
2000,128,32,0.625,0.6666666865348816,0.5,0.5714285297475118,0.6768815517425537,301441,5.704040288925171,15
3000,256,64,0.625,0.6666666865348816,0.5,0.5714285297475118,0.6623380184173584,940673,7.284728288650513,15
3000,256,32,0.625,0.6666666865348816,0.5,0.5714285297475118,0.6756917238235474,846209,6.4686126708984375,15
3000,256,128,0.625,0.6666666865348816,0.5,0.5714285297475118,0.6465811729431152,1178753,9.860026359558105,15
1000,64,32,0.5,0.0,0.0,0.0,0.6921333074569702,93057,5.07926082611084,4
